0,370.060,375.070,460.060,489.070 
0,613.520,320.890,678.520,426.890 
0,726.060,466.530,842.060,589.530 
0,142.550,412.000,261.550,550.000 
0,651.770,-1.090,764.770,91.910 
0,348.590,43.360,416.590,135.360 
0,459.600,347.930,499.600,406.930 
0,513.590,89.580,555.590,153.580 
2,221.610,107.810,260.610,146.810 
2,613.680,795.500,676.680,858.500 
2,863.500,599.500,914.500,650.500 
1,113.630,223.290,153.630,263.290 
1,244.470,301.960,266.470,318.960 
1,384.450,230.250,406.450,249.250 
1,598.420,496.550,648.420,517.550 
1,500.250,517.260,533.250,551.260 
1,457.440,737.350,477.440,755.350 
1,103.410,914.020,131.410,947.020 
1,40.390,741.190,55.390,760.190 
1,941.380,209.230,963.380,234.230 
1,810.180,824.150,838.180,859.150 
1,835.360,349.480,861.360,372.480 
1,561.320,473.480,578.320,487.480 
1,600.340,456.240,615.340,471.240 
1,25.730,478.480,53.730,504.480 
1,103.640,514.220,123.640,537.220 
1,335.330,834.280,374.330,872.280 
1,155.560,977.830,183.560,1005.830 
1,778.600,713.310,806.600,741.310 
1,632.230,671.930,656.230,693.930 
1,427.490,301.520,453.490,325.520 
1,558.800,237.690,574.800,259.690 
1,552.470,61.260,596.470,103.260 
1,588.410,227.790,617.410,262.790 
1,915.270,426.310,935.270,450.310 
1,463.250,931.310,489.250,953.310 
1,823.300,572.280,853.300,608.280 
1,568.420,136.210,585.420,154.210 
